Record_No,PMID,Title,Authors,Citation,First_Author,Journal_or_Book,Publication_Year,Create_Date,PMCID,DOI
636,15214501,Maternal separation in rats leads to anxiety-like behavior and a blunted ACTH response and altered neurotransmitter levels in response to a subsequent stressor,"Daniels WM, Pietersen CY, Carstens ME, Stein DJ.",Metab Brain Dis. 2004 Jun;19(1-2):3-14. doi: 10.1023/b:mebr.0000027412.19664.b3.,Daniels WM,Metab Brain Dis,2004,2004-06-25,,10.1023/b:mebr.0000027412.19664.b3
637,1668366,Stress selectively increases fos protein in dopamine neurons innervating the prefrontal cortex,"Deutch AY, Lee MC, Gillham MH, Cameron DA, Goldstein M, Iadarola MJ.",Cereb Cortex. 1991 Jul-Aug;1(4):273-92. doi: 10.1093/cercor/1.4.273.,Deutch AY,Cereb Cortex,1991,1991-07-01,,10.1093/cercor/1.4.273
638,35183563,Urine metabolomics reveals the effects of confined environment on mating choice in adult male giant pandas,"Zhang MY, Wang XY, Zhang XH, Hou R.",Physiol Behav. 2022 May 15;249:113744. doi: 10.1016/j.physbeh.2022.113744. Epub 2022 Feb 18.,Zhang MY,Physiol Behav,2022,2022-02-20,,10.1016/j.physbeh.2022.113744
639,20021365,Hormones in the mentally disturbed brain: steroids and peptides in the development and treatment of psychopathology,"Taylor GT, Maloney S, Dearborn J, Weiss J.",Cent Nerv Syst Agents Med Chem. 2009 Dec;9(4):331-60. doi: 10.2174/187152409789630398.,Taylor GT,Cent Nerv Syst Agents Med Chem,2009,2009-12-22,,10.2174/187152409789630398
640,25259918,Skeletal muscle PGC-1α1 modulates kynurenine metabolism and mediates resilience to stress-induced depression,"Agudelo LZ, Femenía T, Orhan F, Porsmyr-Palmertz M, Goiny M, Martinez-Redondo V, Correia JC, Izadi M, Bhat M, Schuppe-Koistinen I, Pettersson AT, Ferreira DMS, Krook A, Barres R, Zierath JR, Erhardt S, Lindskog M, Ruas JL.",Cell. 2014 Sep 25;159(1):33-45. doi: 10.1016/j.cell.2014.07.051.,Agudelo LZ,Cell,2014,2014-09-27,,10.1016/j.cell.2014.07.051
641,30153637,Abnormal metabolite concentrations and amygdala volume in patients with recent-onset posttraumatic stress disorder,"Su X, Xia C, Wang W, Sun H, Tan Q, Zhang S, Li L, Kemp GJ, Yue Q, Gong Q.",J Affect Disord. 2018 Dec 1;241:539-545. doi: 10.1016/j.jad.2018.08.018. Epub 2018 Aug 11.,Su X,J Affect Disord,2018,2018-08-29,,10.1016/j.jad.2018.08.018
642,21741625,Ethanol-induced effects on the dopamine and serotonin systems in adult Wistar rats are dependent on early-life experiences,"Oreland S, Raudkivi K, Oreland L, Harro J, Arborelius L, Nylander I.",Brain Res. 2011 Aug 8;1405:57-68. doi: 10.1016/j.brainres.2011.06.031. Epub 2011 Jul 8.,Oreland S,Brain Res,2011,2011-07-12,,10.1016/j.brainres.2011.06.031
643,7002149,Disturbances of metabolism and cardiac function under the action of emotional painful stress and their prophylaxis,Meerson FZ.,Basic Res Cardiol. 1980 Jul-Aug;75(4):479-500. doi: 10.1007/BF01907830.,Meerson FZ,Basic Res Cardiol,1980,1980-07-01,,10.1007/BF01907830
644,39510376,Adenosine regulates depressive behavior in mice with chronic social defeat stress through gut microbiota,"Huang Y, You Y, Wang W, Chen YH, Zhang H, Li QP, Liu L, Tong K, Sun N, Hao JR, Gao C.",Neuropharmacology. 2025 Jan 1;262:110209. doi: 10.1016/j.neuropharm.2024.110209. Epub 2024 Nov 6.,Huang Y,Neuropharmacology,2025,2024-11-07,,10.1016/j.neuropharm.2024.110209
645,23500822,Potential trends in Attention Deficit Hyperactivity Disorder (ADHD) drug use on a college campus: wastewater analysis of amphetamine and ritalinic acid,"Burgard DA, Fuller R, Becker B, Ferrell R, Dinglasan-Panlilio MJ.",Sci Total Environ. 2013 Apr 15;450-451:242-9. doi: 10.1016/j.scitotenv.2013.02.020.,Burgard DA,Sci Total Environ,2013,2013-03-19,,10.1016/j.scitotenv.2013.02.020
646,12421590,Effects of chronic variate stress on feeding behavior and on monoamine levels in different rat brain structures,"Gamaro GD, Manoli LP, Torres IL, Silveira R, Dalmaz C.",Neurochem Int. 2003 Jan;42(2):107-14. doi: 10.1016/s0197-0186(02)00080-3.,Gamaro GD,Neurochem Int,2003,2002-11-08,,10.1016/s0197-0186(02)00080-3
647,21995501,Environmental enrichment in male CD-1 mice promotes aggressive behaviors and elevated corticosterone and brain norepinephrine activity in response to a mild stressor,"McQuaid RJ, Audet MC, Anisman H.",Stress. 2012 May;15(3):354-60. doi: 10.3109/10253890.2011.623249. Epub 2011 Oct 13.,McQuaid RJ,Stress,2012,2011-10-15,,10.3109/10253890.2011.623249
648,34502505,Brain Metabolic Profile after Intranasal vs. Intraperitoneal Clomipramine Treatment in Rats with Ultrasound Model of Depression,"Abramova O, Zorkina Y, Syunyakov T, Zubkov E, Ushakova V, Silantyev A, Soloveva K, Gurina O, Majouga A, Morozova A, Chekhonin V.",Int J Mol Sci. 2021 Sep 4;22(17):9598. doi: 10.3390/ijms22179598.,Abramova O,Int J Mol Sci,2021,2021-09-10,PMC8431753,10.3390/ijms22179598
649,26576028,Prenatal Stress as a Modifier of Associations between Phthalate Exposure and Reproductive Development: results from a Multicentre Pregnancy Cohort Study,"Barrett ES, Parlett LE, Sathyanarayana S, Redmon JB, Nguyen RH, Swan SH.",Paediatr Perinat Epidemiol. 2016 Mar;30(2):105-14. doi: 10.1111/ppe.12264. Epub 2015 Nov 17.,Barrett ES,Paediatr Perinat Epidemiol,2016,2015-11-18,PMC4749428,10.1111/ppe.12264
650,26387448,Effects of acute handling stress on cerebral monoaminergic neurotransmitters in juvenile Senegalese sole Solea senegalensis,"Weber RA, Pérez Maceira JJ, Aldegunde MJ, Peleteiro JB, García Martín LO, Aldegunde M.",J Fish Biol. 2015 Nov;87(5):1165-75. doi: 10.1111/jfb.12774. Epub 2015 Sep 20.,Weber RA,J Fish Biol,2015,2015-09-22,,10.1111/jfb.12774
651,14666122,Physiological predictors of reproductive outcome and mother-infant behaviors in captive rhesus macaque females (Macaca mulatta),"Cleveland A, Westergaard GC, Trenkle MK, Higley JD.",Neuropsychopharmacology. 2004 May;29(5):901-10. doi: 10.1038/sj.npp.1300361.,Cleveland A,Neuropsychopharmacology,2004,2003-12-11,,10.1038/sj.npp.1300361
652,24612054,Stress abolishes the effect of previous chronic ethanol consumption on drug place preference and on the mesocorticolimbic brain pathway,"Moreira-Silva D, Morais-Silva G, Fernandes-Santos J, Planeta CS, Marin MT.",Alcohol Clin Exp Res. 2014 May;38(5):1227-36. doi: 10.1111/acer.12388. Epub 2014 Feb 25.,Moreira-Silva D,Alcohol Clin Exp Res,2014,2014-03-12,,10.1111/acer.12388
653,30597248,Heat-killed lactobacilli alter both microbiota composition and behaviour,"Warda AK, Rea K, Fitzgerald P, Hueston C, Gonzalez-Tortuero E, Dinan TG, Hill C.",Behav Brain Res. 2019 Apr 19;362:213-223. doi: 10.1016/j.bbr.2018.12.047. Epub 2018 Dec 28.,Warda AK,Behav Brain Res,2019,2019-01-01,,10.1016/j.bbr.2018.12.047
654,30194779,Sex-dependent changes in neuroactive steroid concentrations in the rat brain following acute swim stress,"Sze Y, Gill AC, Brunton PJ.",J Neuroendocrinol. 2018 Nov;30(11):e12644. doi: 10.1111/jne.12644. Epub 2018 Oct 7.,Sze Y,J Neuroendocrinol,2018,2018-09-09,PMC6221110,10.1111/jne.12644
655,38203209,Chronic Stress Blocks the Endometriosis Immune Response by Metabolic Reprogramming,"Lu C, Xu J, Li K, Wang J, Dai Y, Chen Y, Chai R, Xu C, Kang Y.",Int J Mol Sci. 2023 Dec 19;25(1):29. doi: 10.3390/ijms25010029.,Lu C,Int J Mol Sci,2023,2024-01-11,PMC10778859,10.3390/ijms25010029
656,3106018,Prolactin inhibition by p-tyramine in the male rat: site of action,"Becú-Villalobos D, Vacas MI, Libertun C.",Endocrinology. 1987 Jun;120(6):2297-301. doi: 10.1210/endo-120-6-2297.,Becú-Villalobos D,Endocrinology,1987,1987-06-01,,10.1210/endo-120-6-2297
657,22504323,Adrenal activity and anxiety-like behavior in fur-chewing chinchillas (Chinchilla lanigera),"Ponzio MF, Monfort SL, Busso JM, Carlini VP, Ruiz RD, Fiol de Cuneo M.",Horm Behav. 2012 May;61(5):758-62. doi: 10.1016/j.yhbeh.2012.03.017. Epub 2012 Apr 5.,Ponzio MF,Horm Behav,2012,2012-04-17,,10.1016/j.yhbeh.2012.03.017
658,7501651,Inhibition of catecholamine synthesis with alpha-methyl-p-tyrosine apparently increases brain serotoninergic activity in the rat: no influence of previous chronic immobilization stress,"Pol O, Campmany L, Armario A.",Pharmacol Biochem Behav. 1995 Sep;52(1):107-12. doi: 10.1016/0091-3057(95)00051-w.,Pol O,Pharmacol Biochem Behav,1995,1995-09-01,,10.1016/0091-3057(95)00051-w
659,2073594,Persistent elevations in dopamine and its metabolites in the nucleus accumbens after mild subchronic stress in rats with ibotenic acid lesions of the medial prefrontal cortex,"Jaskiw GE, Karoum FK, Weinberger DR.",Brain Res. 1990 Nov 26;534(1-2):321-3. doi: 10.1016/0006-8993(90)90149-6.,Jaskiw GE,Brain Res,1990,1990-11-26,,10.1016/0006-8993(90)90149-6
660,39298717,The impact of maternal vulnerability on stress biomarkers and first-trimester growth: the Rotterdam Periconceptional Cohort (Predict Study),"Van Zundert SKM, Van Rossem L, Mirzaian M, Willemsen SP, Voskamp LW, Bastiaansen WAP, Nikpayam D, Griffioen PH, Schilleman WF, Koning AHJ, Van Den Berg SAA, Rousian M, Van Schaik RHN, Steegers-Theunissen RPM.",Hum Reprod. 2024 Nov 1;39(11):2423-2433. doi: 10.1093/humrep/deae211.,Van Zundert SKM,Hum Reprod,2024,2024-09-19,PMC11532602,10.1093/humrep/deae211
661,38492791,Deciphering the antidepressant effects of Rosa damascena essential oil mediated through the serotonergic synapse signaling pathway,"Xia N, Wang J, Guo Q, Duan J, Wang X, Zhou P, Li J, Tang T, Li T, Li H, Wu Z, Yang M, Sun J, Guo D, Chang X, Zhang X.",J Ethnopharmacol. 2024 Jun 28;328:118007. doi: 10.1016/j.jep.2024.118007. Epub 2024 Mar 15.,Xia N,J Ethnopharmacol,2024,2024-03-16,,10.1016/j.jep.2024.118007
662,16677721,"Feeding, exploratory, anxiety- and depression-related behaviors are not altered in interleukin-6-deficient male mice","Swiergiel AH, Dunn AJ.",Behav Brain Res. 2006 Jul 15;171(1):94-108. doi: 10.1016/j.bbr.2006.03.024. Epub 2006 May 3.,Swiergiel AH,Behav Brain Res,2006,2006-05-09,PMC1975690,10.1016/j.bbr.2006.03.024
663,38026800,Assessing variation in faecal glucocorticoid concentrations in gray whales exposed to anthropogenic stressors,"Pirotta E, Fernandez Ajó A, Bierlich KC, Bird CN, Buck CL, Haver SM, Haxel JH, Hildebrand L, Hunt KE, Lemos LS, New L, Torres LG.",Conserv Physiol. 2023 Nov 11;11(1):coad082. doi: 10.1093/conphys/coad082. eCollection 2023.,Pirotta E,Conserv Physiol,2023,2023-11-29,PMC10660368,10.1093/conphys/coad082
664,22257065,Behavioral training and predisposed coping strategies interact to influence resilience in male Long-Evans rats: implications for depression,"Bardi M, Rhone AP, Franssen CL, Hampton JE, Shea EA, Hyer MM, Huber J, Lambert KG.",Stress. 2012 May;15(3):306-17. doi: 10.3109/10253890.2011.623739. Epub 2012 Jan 18.,Bardi M,Stress,2012,2012-01-20,,10.3109/10253890.2011.623739
665,33673157,Human Placenta Buffers the Fetus from Adverse Effects of Perceived Maternal Stress,"Vuppaladhadiam L, Lager J, Fiehn O, Weiss S, Chesney M, Hasdemir B, Bhargava A.",Cells. 2021 Feb 12;10(2):379. doi: 10.3390/cells10020379.,Vuppaladhadiam L,Cells,2021,2021-03-06,PMC7918582,10.3390/cells10020379
666,34375214,Evidence of the moderating role of hair cortisol and hair cortisone in the relationship between work stress and depression symptoms among Chinese fishermen,"Wu Y, Li S, Hu K, Yang J.",J Affect Disord. 2021 Nov 1;294:868-875. doi: 10.1016/j.jad.2021.06.023. Epub 2021 Jun 18.,Wu Y,J Affect Disord,2021,2021-08-10,,10.1016/j.jad.2021.06.023
667,15316792,Effort-reward imbalance and physical health among Japanese workers in a recently downsized corporation,"Irie M, Tsutsumi A, Shioji I, Kobayashi F.",Int Arch Occup Environ Health. 2004 Aug;77(6):409-17. doi: 10.1007/s00420-004-0533-2. Epub 2004 Aug 13.,Irie M,Int Arch Occup Environ Health,2004,2004-08-19,,10.1007/s00420-004-0533-2
668,25100022,Characterization of acute phase proteins and oxidative stress response to road transportation in the dog,"Fazio F, Casella S, Giannetto C, Giudice E, Piccione G.",Exp Anim. 2015;64(1):19-24. doi: 10.1538/expanim.14-0032. Epub 2014 Aug 5.,Fazio F,Exp Anim,2015,2014-08-08,PMC4329511,10.1538/expanim.14-0032
669,11331087,Allopregnanolone levels and reactivity to mental stress in premenstrual dysphoric disorder,"Girdler SS, Straneva PA, Light KC, Pedersen CA, Morrow AL.",Biol Psychiatry. 2001 May 1;49(9):788-97. doi: 10.1016/s0006-3223(00)01044-1.,Girdler SS,Biol Psychiatry,2001,2001-05-02,,10.1016/s0006-3223(00)01044-1
670,26812880,Model approach for stress induced steroidal hormone cascade changes in severe mental diseases,"Volko CD, Regidor PA, Rohr UD.",Horm Mol Biol Clin Investig. 2016 Mar;25(3):157-70. doi: 10.1515/hmbci-2015-0038.,Volko CD,Horm Mol Biol Clin Investig,2016,2016-01-27,,10.1515/hmbci-2015-0038
671,29218948,[Preliminary screening of biomarkers for curcumin's antidepressant effect based on metabonomics method],"Ma ZJ, Zhang W, Dong JM, Yu XH, Zhao XM, Pu SB.",Zhongguo Zhong Yao Za Zhi. 2017 Sep;42(18):3596-3601. doi: 10.19540/j.cnki.cjcmm.20170710.003.,Ma ZJ,Zhongguo Zhong Yao Za Zhi,2017,2017-12-09,,10.19540/j.cnki.cjcmm.20170710.003
672,1709566,Biochemical assessment of preoperative stress: a study with diazepam and measurement of monoamine metabolites and catecholamines in cerebrospinal fluid and plasma,"Kanto J, Scheinin M.",Br J Anaesth. 1991 May;66(5):587-90. doi: 10.1093/bja/66.5.587.,Kanto J,Br J Anaesth,1991,1991-05-01,,10.1093/bja/66.5.587
673,8457851,Effects of postnatal stress on dopamine mesolimbic system responses to aversive experiences in adult life,"Cabib S, Puglisi-Allegra S, D'Amato FR.",Brain Res. 1993 Feb 26;604(1-2):232-9. doi: 10.1016/0006-8993(93)90374-v.,Cabib S,Brain Res,1993,1993-02-26,,10.1016/0006-8993(93)90374-v
674,34081742,Effects of stress associated with academic examination on the kynurenine pathway profile in healthy students,"Myint K, Jacobs K, Myint AM, Lam SK, Henden L, Hoe SZ, Guillemin GJ.",PLoS One. 2021 Jun 3;16(6):e0252668. doi: 10.1371/journal.pone.0252668. eCollection 2021.,Myint K,PLoS One,2021,2021-06-03,PMC8174692,10.1371/journal.pone.0252668
675,9741675,Prenatal stress alters brain biogenic amine levels in primates,"Schneider ML, Clarke AS, Kraemer GW, Roughton EC, Lubach GR, Rimm-Kaufman S, Schmidt D, Ebert M.",Dev Psychopathol. 1998 Summer;10(3):427-40. doi: 10.1017/s0954579498001679.,Schneider ML,Dev Psychopathol,1998,1998-09-19,,10.1017/s0954579498001679
676,7892425,Hypothalamic GABAA receptor blockade modulates cerebral cortical systems sensitive to acute stressors,"Inglefield JR, Kellogg CK.",Psychopharmacology (Berl). 1994 Nov;116(3):339-45. doi: 10.1007/BF02245338.,Inglefield JR,Psychopharmacology (Berl),1994,1994-11-01,,10.1007/BF02245338
677,30540706,"Social Stress Affects Colonic Inflammation, the Gut Microbiome, and Short-chain Fatty Acid Levels and Receptors","Maltz RM, Keirsey J, Kim SC, Mackos AR, Gharaibeh RZ, Moore CC, Xu J, Somogyi A, Bailey MT.",J Pediatr Gastroenterol Nutr. 2019 Apr;68(4):533-540. doi: 10.1097/MPG.0000000000002226.,Maltz RM,J Pediatr Gastroenterol Nutr,2019,2018-12-13,PMC6428608,10.1097/MPG.0000000000002226
678,7805237,Effects of aging on the responsiveness of the human cardiac sympathetic nerves to stressors,"Esler MD, Thompson JM, Kaye DM, Turner AG, Jennings GL, Cox HS, Lambert GW, Seals DR.",Circulation. 1995 Jan 15;91(2):351-8. doi: 10.1161/01.cir.91.2.351.,Esler MD,Circulation,1995,1995-01-15,,10.1161/01.cir.91.2.351
679,1377587,In vivo measurement of hypothalamic serotonin release by intracerebral microdialysis: significant enhancement by immobilization stress in rats,"Shimizu N, Take S, Hori T, Oomura Y.",Brain Res Bull. 1992 May;28(5):727-34. doi: 10.1016/0361-9230(92)90252-s.,Shimizu N,Brain Res Bull,1992,1992-05-01,,10.1016/0361-9230(92)90252-s
680,39519577,"No Effects of Omega-3 Supplementation on Kynurenine Pathway, Inflammation, Depressive Symptoms, and Stress Response in Males: A Placebo-Controlled Trial","Bidzan-Wiącek M, Tomczyk M, Błażek M, Mika A, Antosiewicz J.",Nutrients. 2024 Oct 31;16(21):3744. doi: 10.3390/nu16213744.,Bidzan-Wiącek M,Nutrients,2024,2024-11-09,PMC11548146,10.3390/nu16213744
681,33350985,Decreased serotonin content and release in the ventral hippocampus of prenatally stressed male rats in response to forced swim test,"Jiménez Vásquez FJ, Méndez Guerrero D, Rubio Osornio M, Rubio Osornio MDC, Orozco Suárez S, Retana-Márquez S.",Acta Neurobiol Exp (Wars). 2020;80(4):331-343.,Jiménez Vásquez FJ,Acta Neurobiol Exp (Wars),2020,2020-12-22,,
682,22272920,A marketed fermented dairy product containing Bifidobacterium lactis CNCM I-2494 suppresses gut hypersensitivity and colonic barrier disruption induced by acute stress in rats,"Agostini S, Goubern M, Tondereau V, Salvador-Cartier C, Bezirard V, Lévèque M, Keränen H, Theodorou V, Bourdu-Naturel S, Goupil-Feuillerat N, Legrain-Raspaud S, Eutamene H.",Neurogastroenterol Motil. 2012 Apr;24(4):376-e172. doi: 10.1111/j.1365-2982.2011.01865.x. Epub 2012 Jan 25.,Agostini S,Neurogastroenterol Motil,2012,2012-01-26,,10.1111/j.1365-2982.2011.01865.x
683,25065719,Causes of epidermal filaggrin reduction and their role in the pathogenesis of atopic dermatitis,"Thyssen JP, Kezic S.",J Allergy Clin Immunol. 2014 Oct;134(4):792-9. doi: 10.1016/j.jaci.2014.06.014. Epub 2014 Jul 25.,Thyssen JP,J Allergy Clin Immunol,2014,2014-07-29,,10.1016/j.jaci.2014.06.014
684,24009756,Sight of a predator induces a corticosterone stress response and generates fear in an amphibian,"Narayan EJ, Cockrem JF, Hero JM.",PLoS One. 2013 Aug 29;8(8):e73564. doi: 10.1371/journal.pone.0073564. eCollection 2013.,Narayan EJ,PLoS One,2013,2013-09-07,PMC3757005,10.1371/journal.pone.0073564
685,30362038,Developing metabolomics-based bioassessment: crayfish metabolome sensitivity to food and dissolved oxygen stress,"Izral NM, Brua RB, Culp JM, Yates AG.",Environ Sci Pollut Res Int. 2018 Dec;25(36):36184-36193. doi: 10.1007/s11356-018-3518-5. Epub 2018 Oct 25.,Izral NM,Environ Sci Pollut Res Int,2018,2018-10-27,,10.1007/s11356-018-3518-5
686,36099982,A unique insight for Xiaoyao San exerts antidepressant effects by modulating hippocampal glucose catabolism using stable isotope-resolved metabolomics,"Wu WZ, Ling-Hu T, Zhao YH, Zhao WD, Ji C, Tian JS, Ren Y, Qin XM.",J Ethnopharmacol. 2023 Jan 10;300:115702. doi: 10.1016/j.jep.2022.115702. Epub 2022 Sep 12.,Wu WZ,J Ethnopharmacol,2023,2022-09-13,,10.1016/j.jep.2022.115702
687,38897363,Stress response to social isolation followed by exposure to a novel object in aged ewes born to undernourished mothers,"Corrales-Hlinka F, Pérez-Clariget R, Ungerfeld R, Freitas-de-Melo A.",Behav Processes. 2024 Aug;220:105069. doi: 10.1016/j.beproc.2024.105069. Epub 2024 Jun 17.,Corrales-Hlinka F,Behav Processes,2024,2024-06-19,,10.1016/j.beproc.2024.105069
688,15342269,A distinct neurochemical profile in WKY rats at baseline and in response to acute stress: implications for animal models of anxiety and depression,"De La Garza R 2nd, Mahoney JJ 3rd.",Brain Res. 2004 Sep 24;1021(2):209-18. doi: 10.1016/j.brainres.2004.06.052.,De La Garza R 2nd,Brain Res,2004,2004-09-03,,10.1016/j.brainres.2004.06.052
689,396071,"The effect of mental stress on catecholamines, their metabolites and plasma renin activity in patients with essential hypertension and in healthy subjects","Januszewicz W, Sznajderman M, Wocial B, Feltynowski T, Klonowicz T.",Clin Sci (Lond). 1979 Dec;57 Suppl 5:229s-231s. doi: 10.1042/cs057229s.,Januszewicz W,Clin Sci (Lond),1979,1979-12-01,,10.1042/cs057229s
